expiration,strike,option_type,mid_price,delta_k,strike_cont,settlement
1/17/2020,1905,Put,9,5,0.00001240030000,standard
1/17/2020,1910,Put,9.65,5,0.00001322630000,standard
1/17/2020,1915,Put,10.6,5,0.00001445260000,standard
1/17/2020,1920,Put,11.4,5,0.00001546260000,standard
1/17/2020,1925,Put,12.1,5,0.00001632690000,standard
1/17/2020,1930,Put,13.25,5,0.00001778610000,standard
1/17/2020,1935,Put,14.15,5,0.00001889620000,standard
1/17/2020,1940,Put,15.25,5,0.00002026030000,standard
1/17/2020,1945,Put,16.55,5,0.00002187450000,standard
1/17/2020,1950,Put,18.25,5,0.00002399790000,standard
1/17/2020,1955,Put,19.75,5,0.00002583760000,standard
1/17/2020,1960,Put/Call,24.25,5,0.00002964320000,standard
1/17/2020,1965,Call,21.05,5,0.00002725880000,standard
1/17/2020,1970,Call,18.1,5,0.00002331980000,standard
1/17/2020,1975,Call,15.25,5,0.00001954860000,standard
1/17/2020,1980,Call,12.75,5,0.00001626140000,standard
1/17/2020,1985,Call,10.45,5,0.00001326090000,standard
1/17/2020,1990,Call,8.45,5,0.00001066910000,standard
1/17/2020,1995,Call,6.65,5,0.00000835440000,standard
1/17/2020,2000,Call,4.95,5,0.00000618760000,standard
1/17/2020,2005,Call,3.8,5,0.00000472640000,standard
1/17/2020,2010,Call,2.875,5,0.00000355820000,standard
1/17/2020,2015,Call,2.025,5,0.00000249380000,standard
1/17/2020,2020,Call,1.45,5,0.00000177680000,standard
1/17/2020,2025,Call,1.125,5,0.00000137180000,standard
1/17/2020,2030,Call,0.725,5,0.00000087970000,standard
1/17/2020,2035,Call,0.525,5,0.00000063390000,standard
1/17/2020,2040,Call,0.5,5,0.00000060070000,standard
1/17/2020,2045,Call,0.4,5,0.00000047820000,standard
1/17/2020,2050,Call,0.25,5,0.00000029740000,standard
1/17/2020,2055,Call,0.325,5,0.00000038480000,standard
1/17/2020,2060,Call,0.225,5,0.00000026510000,standard
1/17/2020,2065,Call,0.175,5,0.00000020520000,standard
1/17/2020,2070,Call,0.15,5,0.00000017500000,standard
1/17/2020,2075,Call,0.15,5,0.00000017420000,standard
1/17/2020,2080,Call,0.25,5,0.00000028890000,standard
1/17/2020,2085,Call,0.225,5,0.00000025880000,standard
1/17/2020,2090,Call,0.1,5,0.00000011450000,standard
1/17/2020,2095,Call,0.2,5,0.00000022780000,standard
1/17/2020,2100,Call,0.1,15,0.00000034010000,standard
1/17/2020,2125,Call,0.1,25,0.00000055360000,standard
1/17/2020,2125,Call,0.1,25,0.00000055360000,standard
1/24/2020,1275,Put,0.075,50,0.000002306900000,weekly
1/24/2020,1325,Put,0.15,37.5,0.000003204100000,weekly
1/24/2020,1350,Put,0.15,25,0.000002057700000,weekly
1/24/2020,1375,Put,0.175,25,0.000002314100000,weekly
1/24/2020,1400,Put,0.2,25,0.000002551100000,weekly
1/24/2020,1425,Put,0.25,25,0.000003077900000,weekly
1/24/2020,1450,Put,0.3,25,0.000003567300000,weekly
1/24/2020,1475,Put,0.35,25,0.000004021900000,weekly
1/24/2020,1500,Put,0.4,17.5,0.000003111200000,weekly
1/24/2020,1510,Put,0.425,10,0.000001864000000,weekly
1/24/2020,1520,Put,0.45,7.5,0.000001460800000,weekly
1/24/2020,1525,Put,0.475,5,0.000001021300000,weekly
1/24/2020,1530,Put,0.5,7.5,0.000001602000000,weekly
1/24/2020,1540,Put,0.525,10,0.000002213800000,weekly
1/24/2020,1550,Put,0.55,7.5,0.000001717000000,weekly
1/24/2020,1555,Put,0.575,5,0.000001189000000,weekly
1/24/2020,1560,Put,0.6,5,0.000001232800000,weekly
1/24/2020,1565,Put,0.625,5,0.000001275900000,weekly
1/24/2020,1570,Put,0.65,5,0.000001318500000,weekly
1/24/2020,1575,Put,0.675,5,0.000001360600000,weekly
1/24/2020,1580,Put,0.675,5,0.000001352000000,weekly
1/24/2020,1585,Put,0.7,5,0.000001393200000,weekly
1/24/2020,1590,Put,0.725,5,0.000001433900000,weekly
1/24/2020,1595,Put,0.75,5,0.000001474100000,weekly
1/24/2020,1600,Put,0.775,5,0.000001513700000,weekly
1/24/2020,1605,Put,0.8,5,0.000001552800000,weekly
1/24/2020,1610,Put,0.825,5,0.000001591400000,weekly
1/24/2020,1615,Put,0.85,5,0.000001629500000,weekly
1/24/2020,1620,Put,0.875,5,0.000001667100000,weekly
1/24/2020,1625,Put,0.9,5,0.000001704200000,weekly
1/24/2020,1630,Put,0.95,5,0.000001787800000,weekly
1/24/2020,1635,Put,0.975,5,0.000001823700000,weekly
1/24/2020,1640,Put,1,5,0.000001859100000,weekly
1/24/2020,1645,Put,1.025,5,0.000001894000000,weekly
1/24/2020,1650,Put,1.075,5,0.000001974300000,weekly
1/24/2020,1655,Put,1.1,5,0.000002008100000,weekly
1/24/2020,1660,Put,1.15,5,0.000002086700000,weekly
1/24/2020,1665,Put,1.2,5,0.000002164400000,weekly
1/24/2020,1670,Put,1.225,5,0.000002196300000,weekly
1/24/2020,1675,Put,1.275,5,0.000002272300000,weekly
1/24/2020,1680,Put,1.325,5,0.000002347400000,weekly
1/24/2020,1685,Put,1.375,5,0.000002421500000,weekly
1/24/2020,1690,Put,1.425,5,0.000002494700000,weekly
1/24/2020,1695,Put,1.475,5,0.000002567000000,weekly
1/24/2020,1700,Put,1.525,5,0.000002638500000,weekly
1/24/2020,1705,Put,1.6,5,0.000002752000000,weekly
1/24/2020,1710,Put,1.675,5,0.000002864200000,weekly
1/24/2020,1715,Put,1.725,5,0.000002932500000,weekly
1/24/2020,1720,Put,1.8,5,0.000003042300000,weekly
1/24/2020,1725,Put,1.85,5,0.000003108700000,weekly
1/24/2020,1730,Put,1.925,5,0.000003216000000,weekly
1/24/2020,1735,Put,2,5,0.000003322100000,weekly
1/24/2020,1740,Put,2.1,5,0.000003468200000,weekly
1/24/2020,1745,Put,2.175,5,0.000003571500000,weekly
1/24/2020,1750,Put,2.275,5,0.000003714400000,weekly
1/24/2020,1755,Put,2.375,5,0.000003855600000,weekly
1/24/2020,1760,Put,2.475,5,0.000003995100000,weekly
1/24/2020,1765,Put,2.575,5,0.000004133000000,weekly
